t_s,qin_m3s,qout_m3s,u,L_m,P_Pa,n_in_mols,n_out_mols,L_true_m,P_true_Pa,L_meas_m,P_meas_Pa,L_missing,P_missing,L_est_m,P_est_Pa,n_est_mol,res_L,res_P
32.0,0.004,0.0014545988145751,0.55,1.025535549321278,103966.38543220762,4.0,4.113138214400784,1.025535549321278,103966.38543220762,1.019742533356251,103689.5001575905,False,False,1.024213911932992,103925.41781129749,348.7263341796334,-0.0052606991813004544,-260.957421756626
32.5,0.004,0.001454696299295,0.55,1.0259597666047289,103964.5832778491,4.0,4.111552841218119,1.0259597666047289,103964.5832778491,1.0239978068766835,104018.16053840656,False,False,1.0247007354352853,103934.13136531596,348.6985182535449,-0.0006408860564512953,89.75991008691199
33.0,0.004,0.0014548090530813,0.55,1.0263839650958817,103962.9891389746,4.0,4.110149994615069,1.0263839650958817,103962.9891389746,1.035371603816886,104194.21983211208,False,False,1.0263367321167645,103966.73878580474,348.61612063495187,0.01024622600242786,258.1266732038639
33.5,0.004,0.0014549353033635,0.55,1.026808142545321,103961.57893650523,4.0,4.108908673776697,1.026808142545321,103961.57893650523,1.0382603626198623,103771.42348914684,False,False,1.0274913318022048,103964.38763383536,348.4728809374074,0.01149948939017631,-193.46903098540497
34.0,0.004,0.0014550734810737,0.55,1.0272322969651422,103960.33136278106,4.0,4.107810267482371,1.0272322969651422,103960.33136278106,1.0139970190402996,104059.51902958532,False,False,1.0268521787882383,103953.48557678802,348.51126016733326,-0.013918375103880276,96.70842094483669
34.5,0.004,0.0014552221975923,0.55,1.0276564265988768,103959.22756574088,4.0,4.106838287758451,1.0276564265988768,103959.22756574088,1.0197100029390065,103931.18007391928,False,False,1.0266012107005473,103942.72116089672,348.50458705530684,-0.007566413940647498,-22.000826322720968
35.0,0.004,0.0014553802242408,0.55,1.0280805298948366,103958.2508684384,4.0,4.105978132034023,1.0280805298948366,103958.2508684384,1.0345495641205709,104805.58096335926,False,False,1.028790762432625,104014.81910450387,348.4895109535137,0.007523976026607038,861.9072257696243
35.5,0.004,0.0014555464740535,0.55,1.0285046054824942,103957.38652007956,4.0,4.105216871007647,1.0285046054824942,103957.38652007956,1.0085804076407492,103744.81861573063,False,False,1.0271081971513014,103964.12572279638,348.5169185466152,-0.020633754906622226,-262.5738454000384
36.0,0.004,0.0014557199855872,0.55,1.028928652151563,103956.62147514778,4.0,4.10454305964857,1.028928652151563,103956.62147514778,1.0242969535020394,104371.87295530963,False,False,1.0277893041307848,103988.42423850475,348.518508052986,-0.003235343408063196,409.2923627672717
36.5,0.004,0.0014558999085481,0.55,1.0293526688334718,103955.94419753448,4.0,4.103946568968193,1.0293526688334718,103955.94419753448,1.028379799576771,103940.2403110028,False,False,1.0281701673024364,103981.07376560447,348.4492163660873,0.0001667199914892059,-43.8140965000639
37.0,0.004,0.0014560854910399,0.55,1.0297766545849651,103955.34448691204,4.0,4.103418436404041,1.0297766545849651,103955.34448691204,1.0423468043578334,103917.31588581036,False,False,1.0296905247234502,103989.33694847315,348.2986297951223,0.013752816465111284,-60.238769475297886
37.5,0.004,0.0014562760682545,0.55,1.0302006085735893,103954.81332487632,4.0,4.102950732855207,1.0302006085735893,103954.81332487632,1.0370946475792968,104171.31285833725,False,False,1.030953938992905,104006.5974883785,348.2082690998849,0.00698052858941467,186.4603618508554
38.0,0.004,0.0014564710524476,0.55,1.030624530064848,103954.34273865008,4.0,4.10253644459235,1.030624530064848,103954.34273865008,1.027352395862626,104222.53990861223,False,False,1.0313239618266852,104011.55028347895,348.181452617373,-0.004024837311872087,222.43150460449397
38.5,0.004,0.0014566699240552,0.55,1.0310484184108388,103953.92568037614,4.0,4.10216936843916,1.0310484184108388,103953.92568037614,1.0273626594698393,,False,True,1.0313653335345645,103998.92604200549,348.1343409348754,-0.00438450982537808,
39.0,0.004,0.0014568722238244,0.55,1.0314722730402015,103953.55592024296,4.0,4.101844018780734,1.0314722730402015,103953.55592024296,1.0289703190350223,104052.15144078352,False,False,1.0316254792795791,103994.32653159871,348.0884379990197,-0.0028183544440743002,58.8290127718501
39.5,0.004,0.0014570775458449,0.55,1.0318960934492274,103953.22795187905,4.0,4.101555545101763,1.0318960934492274,103953.22795187905,1.047131387453789,103773.10903495166,False,False,1.0330578300486593,103991.40161359195,347.9106868982799,0.015082542001765287,-216.14543901111756
40.0,0.004,0.0014572855313796,0.55,1.0323198791939974,103952.9369086228,4.0,4.101299658891776,1.0323198791939974,103952.9369086228,1.0280396297682688,103791.64307736758,False,False,1.0327518478753592,103965.63555950856,347.8603560241937,-0.005441469135798904,-195.01877479275572
40.5,0.004,0.0014574958634027,0.55,1.0327436298834305,103952.67848943191,4.0,4.101072568875842,1.0327436298834305,103952.67848943191,1.029706825999783,104105.57444669692,False,False,1.033065461831208,103970.17793883516,347.8387868350279,-0.0034685964227505472,141.68082234101894
41.0,0.004,0.0014577082617679,0.55,1.0331673451731356,103952.44889333216,4.0,4.100870923641018,1.0331673451731356,103952.44889333216,1.0366932358459882,104126.71885451447,False,False,1.0339734006311978,103983.34318609122,347.77637318969647,0.0032042767696989216,158.8133769985434
41.5,0.004,0.0014579224789319,0.55,1.0335910247599802,103952.24476142906,4.0,4.100691760828396,1.0335910247599802,103952.24476142906,1.0323833203091155,104371.660043638,False,False,1.0347400799593212,104005.8031282535,347.7615762582521,-0.0020133537511830557,392.125018671868
42.0,0.004,0.0014581382961718,0.55,1.0340146683772848,103952.0631256176,4.0,4.100532462150004,1.0340146683772848,103952.0631256176,1.0320418260976276,104077.59226224324,False,False,1.0349985330822138,104001.40620489111,347.71656463384204,-0.0031212162077218775,78.20648419349163
42.5,0.004,0.0014583555202391,0.55,1.0344382757905783,103951.90136322031,4.0,4.100390713572637,1.0344382757905783,103951.90136322031,1.0232976043590678,104269.95184279764,False,False,1.0347439793364366,104001.20992548276,347.7457607888421,-0.012123915225472626,274.4550505685038
43.0,0.004,0.001458573980401,0.55,1.0348618467938449,103951.75715687324,4.0,4.100264470081169,1.0348618467938449,103951.75715687324,1.0347466321134593,104406.78846730842,False,False,1.0356700029049377,104024.8331622198,347.71612647219,-0.0004203587145115151,411.4639012415864
43.5,0.004,0.0014587935258234,0.55,1.0352853812062075,103951.62845905566,4.0,4.100151924500936,1.0352853812062075,103951.62845905566,1.0308495689764636,104001.068622415,False,False,1.035624527947076,104008.92426462601,347.66828237536185,-0.005243107850516182,-15.142223577859113
44.0,0.004,0.0014590140232573,0.55,1.035708878868998,103951.51346072902,4.0,4.100051479915372,1.035708878868998,103951.51346072902,1.0473701566309004,103505.84586525182,False,False,1.0363656585305656,103979.26817885727,347.48225505441275,0.011322779405127159,-496.2949908497394
44.5,0.004,0.0014592353549936,0.55,1.036132339643166,103951.41056361084,4.0,4.099961725268391,1.036132339643166,103951.41056361084,1.0426632246701777,103597.62743766066,False,False,1.0367962745075932,103955.26211704042,347.3515530916457,0.00587446389570645,-378.2961722384207
45.0,0.004,0.0014594574170543,0.55,1.0365557634069902,103951.31835566377,4.0,4.099881413786172,1.0365557634069902,103951.31835566377,1.0363143272768909,103519.9774952066,False,False,1.0365745917114146,103922.02039602514,347.2664583709693,-0.0009052696722546827,-434.73964520603477
45.5,0.004,0.0014596801175946,0.55,1.0369791500540575,103951.2355894292,4.0,4.099809443894692,1.0369791500540575,103951.2355894292,1.0436629602867311,104428.71270373344,False,False,1.0382239051316031,103969.75310170489,347.23260012403654,0.006664667188690299,503.33646262944967
46.0,0.004,0.0014599033754898,0.55,1.037402499491476,103951.16116287552,4.0,4.099744842346517,1.037402499491476,103951.16116287552,,103696.93858442684,True,False,1.03826076166247,103947.38464591284,347.1535751011443,,-270.57138150796527
46.5,0.004,0.0014601271190866,0.55,1.037825811638295,103951.09410247042,4.0,4.0996867493021245,1.037825811638295,103951.09410247042,1.0483470752225643,104320.6465720941,False,False,1.0400875327754242,103987.2331359029,347.0724543591542,0.00966303788285594,372.88928508719255
47.0,0.004,0.0014603512850995,0.55,1.0382490864241118,103951.03354822005,4.0,4.099634405140378,1.0382490864241118,103951.03354822005,1.0381950908173956,104126.7531216892,False,False,1.0404956408153638,103990.65289210381,347.0360129171852,-0.0023151241073147144,143.8082258309296
47.5,0.004,0.0014605758176355,0.55,1.0386723237878392,103950.9787404466,4.0,4.09958713879926,1.0386723237878392,103950.9787404466,1.0445061473296433,104465.5594784983,False,False,1.0418816038544825,104025.34698004188,346.98921912634086,0.0035878977835281933,479.594650182029
48.0,0.004,0.0014608006673324,0.55,1.039095523676617,103950.92900810303,4.0,4.099544357469275,1.039095523676617,103950.92900810303,1.0261865912233823,104251.8571539494,False,False,1.0411836520961886,104014.5839216336,347.0351793598251,-0.016117124245030423,235.22959752783936
48.5,0.004,0.0014610257905973,0.55,1.0395186860448509,103950.88375844686,4.0,4.099505537483688,1.0395186860448509,103950.88375844686,1.0429854865336352,103920.17268008283,False,False,1.0416131224629093,104002.39703310565,346.944152876709,0.0013795447022835194,-86.94160398178792
