r_grid,posterior_pdf
0.0,5.010510750626263e-36
0.0011505752876438218,7.204042051425854e-36
0.0023011505752876435,1.0349684326020737e-35
0.003451725862931465,1.485711864734757e-35
0.004602301150575287,2.1310748465567883e-35
0.005752876438219109,3.054354475490358e-35
0.00690345172586293,4.374181470300337e-35
0.008054027013506753,6.259372226104974e-35
0.009204602301150574,8.949965969985826e-35
0.010355177588794395,1.2786998465088931e-34
0.011505752876438218,1.8254606076913e-34
0.01265632816408204,2.603951803548441e-34
0.01380690345172586,3.7115049251033175e-34
0.014957478739369683,5.285958683740614e-34
0.016108054027013506,7.522359949705358e-34
0.017258629314657326,1.0696484863796897e-33
0.01840920460230115,1.5197938213065124e-33
0.01955977988994497,2.157669346461771e-33
0.02071035517758879,3.060847781599654e-33
0.021860930465232613,4.338655790049282e-33
0.023011505752876436,6.145048064430185e-33
0.024162081040520256,8.696650064731436e-33
0.02531265632816408,1.2298023823027535e-32
0.0264632316158079,1.737701948921588e-32
0.02761380690345172,2.453419822856291e-32
0.028764382191095544,3.4611870898749374e-32
0.029914957478739367,4.879045901002069e-32
0.03106553276638319,6.872288075266923e-32
0.03221610805402701,9.672181374445929e-32
0.03336668334167083,1.360204261569336e-31
0.03451725862931465,1.9113510257814366e-31
0.03566783391695848,2.6836965029505924e-31
0.0368184092046023,3.7651559587726415e-31
0.037968984492246116,5.278240362597111e-31
0.03911955977988994,7.39353239770789e-31
0.04027013506753376,1.0348357426720239e-30
0.04142071035517758,1.4472630838903217e-30
0.04257128564282141,2.022461075313675e-30
0.04372186093046523,2.824031149481821e-30
0.044872436218109046,3.940174147323062e-30
0.04602301150575287,5.493105941992374e-30
0.04717358679339669,7.652038677003503e-30
0.04832416208104051,1.0651063194474731e-29
0.04947473736868434,1.4813762919327764e-29
0.05062531265632816,2.058706529027154e-29
0.05177588794397198,2.8587759333857706e-29
0.0529264632316158,3.966636614130131e-29
0.05407703851925962,5.499476351155477e-29
0.05522761380690344,7.618630041215622e-29
0.05637818909454727,1.054603126178468e-28
0.05752876438219109,1.458672674804168e-28
0.058679339669834914,2.0159662816913228e-28
0.05982991495747873,2.7839748272274694e-28
0.06098049024512255,3.8415276871350434e-28
0.06213106553276638,5.296625349663816e-28
0.0632816408204102,7.297114574936982e-28
0.06443221610805402,1.004522570854999e-27
0.06558279139569784,1.381735313312422e-27
0.06673336668334166,1.8990947721119302e-27
0.06788394197098549,2.6081048268819853e-27
0.0690345172586293,3.5789865893381866e-27
0.07018509254627313,4.907402985121605e-27
0.07133566783391695,6.723571040573422e-27
0.07248624312156077,9.204599498527831e-27
0.0736368184092046,1.2591179604276423e-26
0.07478739369684842,1.7210146395913194e-26
0.07593796898449223,2.3504950117563776e-26
0.07708854427213606,3.2076777126834255e-26
0.07823911955977988,4.3739996393648206e-26
0.0793896948474237,5.959686057051971e-26
0.08054027013506752,8.113806493365928e-26
0.08169084542271135,1.1037800310326396e-25
0.08284142071035516,1.5003654096894292e-25
0.08399199599799899,2.0378310581684369e-25
0.08514257128564282,2.7656418240275907e-25
0.08629314657328663,3.7504235334878497e-25
0.08744372186093045,5.081843887411538e-25
0.08859429714857428,6.880483336955259e-25
0.08974487243621809,9.308360591156333e-25
0.09089544772386192,1.2582996440048287e-24
0.09204602301150575,1.6996189794430712e-24
0.09319659829914956,2.293906405373317e-24
0.09434717358679338,3.0935450122303712e-24
0.09549774887443721,4.16863440444054e-24
0.09664832416208102,5.612906412130856e-24
0.09779889944972485,7.551590248384028e-24
0.09894947473736868,1.0151860853712213e-23
0.10010005002501249,1.3636707320209528e-23
0.10125062531265631,1.8303325622067643e-23
0.10240120060030014,2.4547491372362593e-23
0.10355177588794395,3.2895830074704696e-23
0.10470235117558778,4.404850840504184e-23
0.1058529264632316,5.893566486460305e-23
0.10700350175087542,7.879193956809257e-23
0.10815407703851924,1.0525482631732879e-22
0.10930465232616307,1.4049435345695463e-22
0.11045522761380688,1.8738393066158345e-22
0.11160580290145071,2.497252421001809e-22
0.11275637818909454,3.3254403683392185e-22
0.11390695347673836,4.424788427888699e-22
